series_model,dealer,category,cars,manager,zone,date,month,state,city,qty_sold,sold_price,car_insurance,state_tax,consumer_family_status,consumer_profession,any_other_brand_preferred,year,month_num,total_revenue,total_cost_per_unit,total_cost,net_revenue,price_tier
PRIMUS,AUTOCAT,LUXURY,US18,AJAY,NORTH,2019-05-01,May,KTK,BIDAR,1,800000,56000.0,16000.0,FAMILY,BUSINESS,NO,2019,5,800000,72000.0,72000.0,728000.0,Premium
PRIMUS,NIKE,LUXURY,US18,AJAY,WEST,2019-08-04,Aug,CHD,SECTOR 29,6,812117,56848.19,16242.34,FAMILY,BUSINESS,YES,2019,8,4872702,73090.53,438543.18,4434158.82,Premium
PRIMUS,NIKE,BASIC,US18,AJAY,EAST,2019-10-13,Oct,HR,SONIPAT,4,858644,99602.704,4980.1352,SINGLE,BUSINESS,YES,2019,10,3434576,104582.8392,418331.3568,3016244.6432,Premium
PRIMUS,AUTOCAT,SUPER,PUNTO,AJAY,NORTH,2019-01-31,Jan,AP,AMARVATI,0,345400,41448.0,3454.0,GIFT,BUSINESS,YES,2019,1,0,44902.0,0.0,0.0,Mid-Range
PRIMUS,AUTOCAT,LUXURY,PUNTO,AJAY,NORTH,2019-08-11,Aug,CHD,SECTOR 4,2,425668,29796.76,8513.36,FAMILY,BUSINESS,YES,2019,8,851336,38310.119999999995,76620.23999999999,774715.76,Premium
PRIMUS,AUTOCAT,LUXURY,PUNTO,AJAY,SOUTH,2019-11-03,Nov,HR,SONIPAT,2,397405,46098.98,2304.949,FAMILY,BUSINESS,YES,2019,11,794810,48403.929000000004,96807.85800000001,698002.142,Mid-Range
PRIMUS,AUTOCAT,SUPER,MARUTI 800,AJAY,EAST,2019-03-17,Mar,KTK,BIDAR,13,220000,15400.0,4400.0,SINGLE,BUSINESS,YES,2019,3,2860000,19800.0,257400.0,2602600.0,Budget
PRIMUS,AUTOCAT,LUXURY,MARUTI 800,AJAY,WEST,2019-05-10,May,KTK,UDUPAI,4,220000,15400.0,4400.0,FAMILY,BUSINESS,YES,2019,5,880000,19800.0,79200.0,800800.0,Budget
PRIMUS,AUTOCAT,LUXURY,MARUTI 800,AJAY,NORTH,2019-05-31,May,AP,HYDERABAD,2,215400,25848.0,2154.0,FAMILY,BUSINESS,YES,2019,5,430800,28002.0,56004.0,374796.0,Budget
PRIMUS,AUTOCAT,LUXURY,MARUTI 800,AJAY,NORTH,2019-12-12,Dec,DL,BADALPUR,2,212010,9752.46,780.1968,SPOUSE,BUSINESS,YES,2019,12,424020,10532.656799999999,21065.313599999998,402954.6864,Budget
PRIMUS,AUTOCAT,LUXURY,BEATLE,AJAY,WEST,2019-03-02,Mar,HR,KAITHAL,33,296080,34345.28,1717.264,GIFT,BUSINESS,YES,2019,3,9770640,36062.544,1190063.952,8580576.048,Mid-Range
PRIMUS,AUTOCAT,LUXURY,BEATLE,AJAY,EAST,2019-04-27,Apr,KTK,BIDAR,2,230000,16100.0,4600.0,GIFT,BUSINESS,YES,2019,4,460000,20700.0,41400.0,418600.0,Budget
PRIMUS,NIKE,SUPER,BEATLE,AJAY,WEST,2019-07-08,Jul,KTK,BIDAR,2,230000,16100.0,4600.0,SINGLE,BUSINESS,NO,2019,7,460000,20700.0,41400.0,418600.0,Budget
PRIMUS,NIKE,LUXURY,BEATLE,AJAY,NORTH,2019-10-28,Oct,KEA,KOVALAM,10,227700,36432.0,2277.0,FAMILY,BUSINESS,YES,2019,10,2277000,38709.0,387090.0,1889910.0,Budget
PRIMUS,NIKE,LUXURY,BEATLE,AJAY,WEST,2019-11-25,Nov,HR,KAITHAL,17,296080,34345.28,1717.264,SINGLE,BUSINESS,NO,2019,11,5033360,36062.544,613063.248,4420296.752,Mid-Range
PRIMUS,NIKE,LUXURY,BEATLE,AJAY,SOUTH,2019-12-23,Dec,PB,PATIALA,12,249734,27470.74,7492.02,FAMILY,BUSINESS,YES,2019,12,2996808,34962.76,419553.12,2577254.88,Budget
PRIMUS,BULWARD,SUPER,HAWK,AJAY,NORTH,2019-05-05,May,KTK,UDUPAI,15,230000,16100.0,4600.0,GIFT,BUSINESS,YES,2019,5,3450000,20700.0,310500.0,3139500.0,Budget
PRIMUS,AUTOCAT,LUXURY,HAWK,AJAY,SOUTH,2019-06-02,Jun,DL,CP,16,222010,10212.46,816.9968,SINGLE,BUSINESS,YES,2019,6,3552160,11029.4568,176471.3088,3375688.6912000002,Budget
PRIMUS,AUTOCAT,LUXURY,HAWK,AJAY,SOUTH,2019-09-08,Sep,KTK,AJAYPURA,12,230000,16100.0,4600.0,SINGLE,BUSINESS,YES,2019,9,2760000,20700.0,248400.0,2511600.0,Budget
PRIMUS,AUTOCAT,LUXURY,HAWK,AJAY,SOUTH,2019-12-15,Dec,PB,PATIALA,22,249734,27470.74,7492.02,FAMILY,BUSINESS,YES,2019,12,5494148,34962.76,769180.7200000001,4724967.28,Budget
PRIMUS,NIKE,LUXURY,ALTO,AJAY,SOUTH,2019-02-16,Feb,RAJ,JAIPUR,15,214020,4280.4,85.608,GIFT,JOB,YES,2019,2,3210300,4366.008,65490.119999999995,3144809.88,Budget
PRIMUS,NIKE,SUPER,ALTO,AJAY,NORTH,2019-03-16,Mar,PB,PATIALA,45,249734,27470.74,7492.02,SINGLE,JOB,YES,2019,3,11238030,34962.76,1573324.2000000002,9664705.8,Budget
PRIMUS,NIKE,SUPER,ALTO,AJAY,SOUTH,2019-04-13,Apr,CHD,SECTOR 1,44,341014,23870.98,6820.28,SINGLE,JOB,YES,2019,4,15004616,30691.26,1350415.44,13654200.56,Mid-Range
PRIMUS,BULWARD,SUPER,ALTO,AJAY,WEST,2019-05-25,May,RAJ,JAIPUR,17,214020,4280.4,85.608,FAMILY,JOB,NO,2019,5,3638340,4366.008,74222.136,3564117.864,Budget
PRIMUS,NIKE,BASIC,ALTO,AJAY,EAST,2019-08-03,Aug,KTK,BGLORE,54,230000,16100.0,4600.0,SINGLE,JOB,YES,2019,8,12420000,20700.0,1117800.0,11302200.0,Budget
PRIMUS,MITUSHI,SUPER,ALTO,AJAY,WEST,2019-09-08,Sep,KTK,BGLORE,4,230000,16100.0,4600.0,GIFT,JOB,YES,2019,9,920000,20700.0,82800.0,837200.0,Budget
PRIMUS,NIKE,LUXURY,ALTO,AJAY,NORTH,2019-09-30,Sep,CHD,SECTOR 4,9,341014,23870.98,6820.28,FAMILY,JOB,YES,2019,9,3069126,30691.26,276221.33999999997,2792904.66,Mid-Range
PRIMUS,NIKE,LUXURY,ALTO,AJAY,EAST,2019-10-14,Oct,ASM,DHUBRI,44,231802,27816.24,2225.2992,SPOUSE,JOB,YES,2019,10,10199288,30041.539200000003,1321827.7248000002,8877460.2752,Budget
PRIMUS,BULWARD,LUXURY,ALTO,AJAY,NORTH,2019-11-11,Nov,PB,PATIALA,54,249734,27470.74,7492.02,SINGLE,JOB,YES,2019,11,13485636,34962.76,1887989.04,11597646.96,Budget
PRIMUS,NIKE,SUPER,SANTRO,AJAY,SOUTH,2019-02-16,Feb,RAJ,JAIPUR,32,304020,6080.4,121.608,GIFT,JOB,YES,2019,2,9728640,6202.008,198464.256,9530175.744,Mid-Range
PRIMUS,AUTOCAT,SUPER,SANTRO,AJAY,SOUTH,2019-04-25,Apr,AP,TIRUPATI,66,315400,37848.0,3154.0,FAMILY,JOB,NO,2019,4,20816400,41002.0,2706132.0,18110268.0,Mid-Range
PRIMUS,NIKE,BASIC,SANTRO,AJAY,SOUTH,2019-06-20,Jun,KTK,AJAYPURA,22,320000,22400.0,6400.0,FAMILY,JOB,NO,2019,6,7040000,28800.0,633600.0,6406400.0,Mid-Range
PRIMUS,BULWARD,EXTRA CLASS,SANTRO,AJAY,WEST,2019-07-04,Jul,AP,VIZAG,55,315400,37848.0,3154.0,SPOUSE,JOB,YES,2019,7,17347000,41002.0,2255110.0,15091890.0,Mid-Range
PRIMUS,AUTOCAT,SUPER,SANTRO,AJAY,SOUTH,2019-10-10,Oct,KEA,VARKALA,23,317700,50832.0,3177.0,SINGLE,JOB,YES,2019,10,7307100,54009.0,1242207.0,6064893.0,Mid-Range
PRIMUS,MITUSHI,BASIC,BEAT,AJAY,WEST,2019-02-05,Feb,RAJ,JODHPUR,24,334020,6680.4,133.608,GIFT,JOB,YES,2019,2,8016480,6814.008,163536.19199999998,7852943.808,Mid-Range
PRIMUS,MITUSHI,EXTRA CLASS,BEAT,AJAY,WEST,2019-06-07,Jun,PB,PATIALA,3,422047,46425.17,12661.41,SINGLE,JOB,YES,2019,6,1266141,59086.58,177259.74,1088881.26,Premium
PRIMUS,NIKE,SUPER,US18,AJAY,SOUTH,2019-03-02,Mar,KTK,BGLORE,14,800000,56000.0,16000.0,FAMILY,JOB,YES,2019,3,11200000,72000.0,1008000.0,10192000.0,Premium
PRIMUS,BULWARD,BASIC,US18,AJAY,SOUTH,2019-04-13,Apr,PB,LUD,5,810553,89160.83,24316.59,FAMILY,JOB,YES,2019,4,4052765,113477.42,567387.1,3485377.9,Premium
PRIMUS,AUTOCAT,LUXURY,US18,AJAY,NORTH,2019-09-08,Sep,KEA,KOCHI,22,797700,127632.0,7977.0,FAMILY,JOB,NO,2019,9,17549400,135609.0,2983398.0,14566002.0,Premium
PRIMUS,NIKE,EXTRA CLASS,US18,AJAY,WEST,2019-12-22,Dec,KTK,AJAYPURA,22,800000,56000.0,16000.0,SINGLE,JOB,YES,2019,12,17600000,72000.0,1584000.0,16016000.0,Premium
PRIMUS,NIKE,SUPER,PUNTO,AJAY,EAST,2019-03-14,Mar,DL,DWARKA,4,342010,15732.46,1258.5968,FAMILY,JOB,YES,2019,3,1368040,16991.0568,67964.2272,1300075.7728,Mid-Range
PRIMUS,AUTOCAT,LUXURY,MARUTI 800,AJAY,NORTH,2019-01-13,Jan,PB,AMR,3,316877,34856.47,9506.31,GIFT,JOB,NO,2019,1,950631,44362.78,133088.34,817542.66,Mid-Range
PRIMUS,AUTOCAT,LUXURY,MARUTI 800,AJAY,NORTH,2019-02-24,Feb,HR,KAITHAL,13,348158,40386.328,2019.3164,SINGLE,JOB,NO,2019,2,4526054,42405.644400000005,551273.3772000001,3974780.6228,Mid-Range
PRIMUS,AUTOCAT,SUPER,MARUTI 800,AJAY,SOUTH,2019-04-07,Apr,AP,AMARVATI,8,215400,25848.0,2154.0,SINGLE,JOB,YES,2019,4,1723200,28002.0,224016.0,1499184.0,Budget
PRIMUS,AUTOCAT,LUXURY,MARUTI 800,AJAY,SOUTH,2019-04-19,Apr,CHD,SECTOR 4,2,255519,17886.33,5110.38,SINGLE,JOB,NO,2019,4,511038,22996.710000000003,45993.420000000006,465044.58,Mid-Range
PRIMUS,AUTOCAT,LUXURY,BEATLE,AJAY,SOUTH,2019-02-02,Feb,KEA,KOLLAM,5,227700,36432.0,2277.0,SINGLE,JOB,YES,2019,2,1138500,38709.0,193545.0,944955.0,Budget
PRIMUS,AUTOCAT,BASIC,BEATLE,AJAY,WEST,2019-06-22,Jun,DL,DWARKA,2,222010,10212.46,816.9968,SINGLE,JOB,NO,2019,6,444020,11029.4568,22058.9136,421961.08640000003,Budget
PRIMUS,NIKE,SUPER,BEATLE,AJAY,NORTH,2019-08-05,Aug,AP,HYDERABAD,22,225400,27048.0,2254.0,SINGLE,JOB,NO,2019,8,4958800,29302.0,644644.0,4314156.0,Budget
PRIMUS,NIKE,SUPER,BEATLE,AJAY,WEST,2019-09-30,Sep,CHD,SECTOR 29,19,341014,23870.98,6820.28,SINGLE,JOB,YES,2019,9,6479266,30691.26,583133.94,5896132.0600000005,Mid-Range
PRIMUS,NIKE,LUXURY,SANTRO,AJAY,NORTH,2019-02-14,Feb,KTK,BIDAR,22,230000,16100.0,4600.0,FAMILY,JOB,YES,2019,2,5060000,20700.0,455400.0,4604600.0,Budget
PRIMUS,NIKE,SUPER,SANTRO,AJAY,NORTH,2019-06-22,Jun,DL,DWARKA,18,222010,10212.46,816.9968,FAMILY,JOB,NO,2019,6,3996180,11029.4568,198530.2224,3797649.7776,Budget
PRIMUS,NIKE,LUXURY,HAWK,AJAY,WEST,2019-02-05,Feb,KTK,BGLORE,20,230000,16100.0,4600.0,SINGLE,JOB,YES,2019,2,4600000,20700.0,414000.0,4186000.0,Budget
PRIMUS,BULWARD,SUPER,HAWK,AJAY,WEST,2019-04-16,Apr,HR,PANIPAT,18,296080,34345.28,1717.264,SINGLE,JOB,YES,2019,4,5329440,36062.544,649125.792,4680314.208,Mid-Range
PRIMUS,BULWARD,BASIC,ALTO,AJAY,SOUTH,2019-07-20,Jul,RAJ,JAIPUR,4,214020,4280.4,85.608,FAMILY,STUDENT,YES,2019,7,856080,4366.008,17464.032,838615.968,Budget
PRIMUS,AUTOCAT,SUPER,ALTO,AJAY,SOUTH,2019-08-25,Aug,CHD,SECTOR 4,55,341014,23870.98,6820.28,SINGLE,STUDENT,YES,2019,8,18755770,30691.26,1688019.2999999998,17067750.7,Mid-Range
PRIMUS,MITUSHI,BASIC,BEAT,AJAY,SOUTH,2019-01-29,Jan,ASM,DIPHU,54,351676,42201.12,3376.0896,SINGLE,STUDENT,YES,2019,1,18990504,45577.2096,2461169.3184,16529334.6816,Mid-Range
PRIMUS,MITUSHI,LUXURY,BEAT,AJAY,NORTH,2019-05-30,May,RAJ,AJMER,32,334020,6680.4,133.608,SINGLE,STUDENT,NO,2019,5,10688640,6814.008,218048.256,10470591.744,Mid-Range
PRIMUS,NIKE,SUPER,US18,AJAY,EAST,2019-02-09,Feb,PB,LUD,0,810553,89160.83,24316.59,FAMILY,STUDENT,NO,2019,2,0,113477.42,0.0,0.0,Premium
PRIMUS,NIKE,LUXURY,US18,AJAY,EAST,2019-05-26,May,AP,VIZAG,7,795400,95448.0,7954.0,FAMILY,STUDENT,YES,2019,5,5567800,103402.0,723814.0,4843986.0,Premium
PRIMUS,AUTOCAT,LUXURY,PUNTO,AJAY,SOUTH,2019-05-19,May,AP,VIZAG,2,345400,41448.0,3454.0,SINGLE,STUDENT,YES,2019,5,690800,44902.0,89804.0,600996.0,Mid-Range
PRIMUS,NIKE,LUXURY,PUNTO,AJAY,WEST,2019-12-15,Dec,PB,LUD,3,446565,49122.15,13396.95,SINGLE,STUDENT,YES,2019,12,1339695,62519.100000000006,187557.30000000002,1152137.7,Premium
PRIMUS,AUTOCAT,LUXURY,BEATLE,AJAY,EAST,2019-01-05,Jan,CHD,SECTOR 4,3,341014,23870.98,6820.28,FAMILY,STUDENT,YES,2019,1,1023042,30691.26,92073.78,930968.22,Mid-Range
PRIMUS,AUTOCAT,BASIC,BEATLE,AJAY,SOUTH,2019-05-25,May,AP,HYDERABAD,2,225400,27048.0,2254.0,SINGLE,STUDENT,NO,2019,5,450800,29302.0,58604.0,392196.0,Budget
PRIMUS,NIKE,LUXURY,SANTRO,AJAY,WEST,2019-01-17,Jan,RAJ,BIKANER,15,214020,4280.4,85.608,SINGLE,STUDENT,NO,2019,1,3210300,4366.008,65490.119999999995,3144809.88,Budget
PRIMUS,AUTOCAT,SUPER,SANTRO,AJAY,EAST,2019-11-07,Nov,KTK,BIDAR,42,320000,22400.0,6400.0,SINGLE,SELF EMPLOYEED,YES,2019,11,13440000,28800.0,1209600.0,12230400.0,Mid-Range
PRIMUS,MITUSHI,BASIC,BEAT,AJAY,EAST,2019-02-19,Feb,CHD,SECTOR 29,25,442377,30966.39,8847.54,SINGLE,SELF EMPLOYEED,NO,2019,2,11059425,39813.93,995348.25,10064076.75,Premium
PRIMUS,AUTOCAT,LUXURY,BEATLE,AJAY,NORTH,2019-03-30,Mar,PB,PATIALA,3,249734,27470.74,7492.02,SINGLE,SELF EMPLOYEED,NO,2019,3,749202,34962.76,104888.28,644313.72,Budget
PRIMUS,NIKE,SUPER,BEATLE,AJAY,EAST,2019-09-02,Sep,DL,BADALPUR,11,222010,10212.46,816.9968,SINGLE,SELF EMPLOYEED,NO,2019,9,2442110,11029.4568,121324.0248,2320785.9752,Budget
PRIMUS,NIKE,BASIC,SANTRO,AJAY,SOUTH,2019-04-11,Apr,DL,DWARKA,18,222010,10212.46,816.9968,SPOUSE,SELF EMPLOYEED,YES,2019,4,3996180,11029.4568,198530.2224,3797649.7776,Budget
KLV,BULWARD,LUXURY,ALTO,AJAY,WEST,2019-01-05,Jan,PB,LUDHIYANA,17,249734,27470.74,7492.02,SINGLE,SELF EMPLOYEED,YES,2019,1,4245478,34962.76,594366.92,3651111.08,Budget
KLV,BULWARD,LUXURY,ALTO,AJAY,WEST,2019-02-02,Feb,KEA,KOCHI,15,227700,36432.0,2277.0,SINGLE,STUDENT,YES,2019,2,3415500,38709.0,580635.0,2834865.0,Budget
KLV,BULWARD,LUXURY,ALTO,AJAY,WEST,2019-03-02,Mar,PB,PATIALA,22,249734,27470.74,7492.02,SINGLE,BUSINESS,YES,2019,3,5494148,34962.76,769180.7200000001,4724967.28,Budget
KLV,BULWARD,SUPER,ALTO,AJAY,WEST,2019-04-27,Apr,KTK,AJAYPURA,10,230000,16100.0,4600.0,FAMILY,JOB,YES,2019,4,2300000,20700.0,207000.0,2093000.0,Budget
KLV,BULWARD,EXTRA CLASS,ALTO,AJAY,SOUTH,2019-06-22,Jun,CHD,SECTOR 1,66,341014,23870.98,6820.28,FAMILY,BUSINESS,NO,2019,6,22506924,30691.26,2025623.16,20481300.84,Mid-Range
KLV,AUTOCAT,BASIC,ALTO,AJAY,SOUTH,2019-08-17,Aug,AP,TIRUPATI,12,225400,27048.0,2254.0,FAMILY,BUSINESS,YES,2019,8,2704800,29302.0,351624.0,2353176.0,Budget
KLV,AUTOCAT,BASIC,ALTO,AJAY,WEST,2019-02-02,Feb,KEA,KOCHI,34,317700,50832.0,3177.0,SINGLE,STUDENT,YES,2019,2,10801800,54009.0,1836306.0,8965494.0,Mid-Range
KLV,MITUSHI,BASIC,ALTO,AJAY,WEST,2019-08-01,Aug,CHD,SECTOR 4,33,421813,29526.91,8436.26,SPOUSE,JOB,YES,2019,8,13919829,37963.17,1252784.6099999999,12667044.39,Premium
KLV,AUTOCAT,LUXURY,US18,AJAY,SOUTH,2019-06-30,Jun,DL,DWARKA,2,792010,36432.46,2914.5968,FAMILY,JOB,NO,2019,6,1584020,39347.0568,78694.1136,1505325.8864,Premium
KLV,AUTOCAT,BASIC,US18,AJAY,SOUTH,2019-11-17,Nov,PB,AMR,1,810553,89160.83,24316.59,FAMILY,JOB,YES,2019,11,810553,113477.42,113477.42,697075.58,Premium
KLV,AUTOCAT,SUPER,PUNTO,AJAY,SOUTH,2019-04-25,Apr,HR,SONIPAT,2,397405,46098.98,2304.949,SPOUSE,BUSINESS,YES,2019,4,794810,48403.929000000004,96807.85800000001,698002.142,Mid-Range
KLV,NIKE,LUXURY,PUNTO,AJAY,WEST,2019-06-30,Jun,DL,DWARKA,2,342010,15732.46,1258.5968,SINGLE,JOB,YES,2019,6,684020,16991.0568,33982.1136,650037.8864,Mid-Range
KLV,MITUSHI,EXTRA CLASS,PUNTO,AJAY,EAST,2019-09-22,Sep,KEA,KOVALAM,6,347700,55632.0,3477.0,SINGLE,SELF EMPLOYEED,YES,2019,9,2086200,59109.0,354654.0,1731546.0,Mid-Range
KLV,AUTOCAT,LUXURY,MARUTI 800,AJAY,EAST,2019-02-03,Feb,KEA,VARKALA,4,217700,34832.0,2177.0,SINGLE,BUSINESS,YES,2019,2,870800,37009.0,148036.0,722764.0,Budget
KLV,BULWARD,LUXURY,HAWK,AJAY,WEST,2019-03-12,Mar,HR,KAITHAL,12,296080,34345.28,1717.264,SINGLE,BUSINESS,NO,2019,3,3552960,36062.544,432750.52800000005,3120209.472,Mid-Range
KLV,BULWARD,LUXURY,HAWK,AJAY,WEST,2019-10-27,Oct,AP,VIZAG,17,225400,27048.0,2254.0,FAMILY,BUSINESS,YES,2019,10,3831800,29302.0,498134.0,3333666.0,Budget
ELECTRA,MITUSHI,SUPER,BEAT,AJAY,WEST,2019-01-01,Jan,PB,LUDHIYANA,35,422047,46425.17,12661.41,SINGLE,JOB,NO,2019,1,14771645,59086.58,2068030.3,12703614.7,Premium
TESS,MITUSHI,SUPER,BEAT,AJAY,NORTH,2019-01-15,Jan,KEA,KOCHI,25,347700,55632.0,3477.0,SINGLE,BUSINESS,YES,2019,1,8692500,59109.0,1477725.0,7214775.0,Mid-Range
TESS,MITUSHI,BASIC,BEAT,AJAY,NORTH,2019-02-12,Feb,DL,BADALPUR,25,342010,15732.46,1258.5968,FAMILY,BUSINESS,YES,2019,2,8550250,16991.0568,424776.42,8125473.58,Mid-Range
TESS,MITUSHI,LUXURY,BEAT,AJAY,WEST,2019-06-06,Jun,KEA,KOCHI,55,347700,55632.0,3477.0,GIFT,JOB,YES,2019,6,19123500,59109.0,3250995.0,15872505.0,Mid-Range
TESS,MITUSHI,LUXURY,BEAT,AJAY,WEST,2019-12-07,Dec,DL,DWARKA,11,342010,15732.46,1258.5968,SINGLE,JOB,YES,2019,12,3762110,16991.0568,186901.6248,3575208.3752,Mid-Range
ELECTRA,NIKE,LUXURY,HAWK,AJAY,NORTH,2019-01-01,Jan,PB,LUDHIYANA,17,249734,27470.74,7492.02,FAMILY,BUSINESS,NO,2019,1,4245478,34962.76,594366.92,3651111.08,Budget
TESS,NIKE,LUXURY,HAWK,AJAY,WEST,2019-07-21,Jul,HR,KAITHAL,18,296080,34345.28,1717.264,FAMILY,JOB,NO,2019,7,5329440,36062.544,649125.792,4680314.208,Mid-Range
TESS,AUTOCAT,SUPER,SANTRO,AJAY,NORTH,2019-03-16,Mar,PB,PATIALA,20,395352,43488.72,11860.56,SINGLE,JOB,YES,2019,3,7907040,55349.28,1106985.6,6800054.4,Mid-Range
ELECTRA,AUTOCAT,LUXURY,SANTRO,AJAY,SOUTH,2019-04-13,Apr,CHD,SECTOR 1,22,421813,29526.91,8436.26,SINGLE,JOB,YES,2019,4,9279886,37963.17,835189.74,8444696.26,Premium
TESS,NIKE,LUXURY,SANTRO,AJAY,SOUTH,2019-08-17,Aug,KEA,VARKALA,17,227700,36432.0,2277.0,FAMILY,JOB,NO,2019,8,3870900,38709.0,658053.0,3212847.0,Budget
